pitch_location,pitch_category_breaking_pitch,pitch_category_offspeed_pitch,pitch_category_fastballs,pitch_category_other,dec_states,error_in_decision,post_s0,post_s1,post_s2,post_s3,post_s4,post_s5,post_s6,post_s7,post_s8,post_s9,post_s10,post_s11
0.0700000000000002,0,0,1,0,2,incorrect,0.0,4.045238104537924e-21,1.0,1.8915384666909294e-136,0.0,3.996566880809561e-210,5.593602692687986e-126,0.0,0.0,2.5637532440745653e-69,0.0,0.0
0.4399999999999999,0,0,1,0,9,correct,0.0,0.0,1.256271294516096e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.169,0,1,0,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4900000000000002,0,0,1,0,10,do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1509999999999999,0,0,1,0,1,do_nothing,0.0,1.0,0.0,0.0,0.0,0.0,2.722179329457571e-266,0.0,0.0,4.5124147582364744e-197,0.0,0.0
0.029,0,0,1,0,2,incorrect,0.0,5.079744711762607e-10,0.9999999994920472,1.2529307891876471e-111,0.0,1.7779182599705773e-280,1.925198568623465e-131,0.0,0.0,2.4969387392447327e-78,0.0,0.0
0.4399999999999999,1,0,0,0,9,correct,0.0,0.0,1.2562712950371091e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0099999999999997,0,0,1,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.439,0,0,1,0,10,correct,0.0,0.0,0.0,2.6134323257317957e-294,0.0,0.0,8.3365167464e-314,0.0,0.0,0.0,1.0,0.0
0.2809999999999999,0,1,0,0,1,do_nothing,0.0,1.0,0.0,0.0,0.0,0.0,1.090206694570654e-188,0.0,0.0,1.8071788015116144e-119,0.0,0.0
0.1500000000000001,1,0,0,0,9,do_nothing,0.0,0.0,2.2819058900743487e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.1199999999999996,1,0,0,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.25,1,0,0,0,10,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.05,0,0,1,0,1,correct,0.0,1.0,3.2727622810547944e-184,8.534987060289946e-277,0.0,0.0,4.593292920612594e-257,0.0,0.0,1.0109888335264504e-217,0.0,0.0
0.6809999999999999,0,1,0,0,2,do_nothing,0.0,9.226907778277679e-10,0.9999999990773176,8.027350406897745e-189,0.0,0.0,1.2334475013752928e-208,0.0,0.0,1.5997533445139929e-155,0.0,0.0
0.1299999999999999,1,0,0,0,2,do_nothing,0.0,4.744713258875584e-19,1.0,5.3094694691566327e-110,0.0,8.385275741203745e-279,1.2054164844847805e-131,0.0,0.0,6.406858603979533e-78,0.0,0.0
0.0709999999999999,0,1,0,0,3,incorrect,1.9940426469391336e-283,2.946876407690364e-189,5.701194294389585e-196,1.0,0.0,1.747511567083379e-212,3.5705477e-317,2.06572537e-316,0.0,6.393402060637982e-234,0.0,0.0
0.1509999999999999,0,0,1,0,0,do_nothing,1.0,0.0,0.0,1.8590075911590063e-135,0.0,4.527636115310198e-169,0.0,0.0,0.0,8.879463488820317e-178,0.0,0.0
0.5390000000000001,0,0,1,0,3,do_nothing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.189,0,0,1,0,0,do_nothing,1.0,0.0,0.0,9.601316e-318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3309999999999999,0,0,1,0,8,correct,0.0,0.0,0.0,1.7553664850257692e-189,4.180716780981867e-115,5.130007677991832e-213,0.0,0.0,1.0,3.548729397866501e-262,0.0,0.0
0.139,1,0,0,0,4,do_nothing,0.0,0.0,0.0,5.937914814634535e-98,1.0,5.575073296696129e-127,2.172103005740123e-247,0.0,0.0,1.01035489170734e-159,0.0,0.0
0.4609999999999999,1,0,0,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7490000000000001,1,0,0,0,0,correct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1600000000000001,0,0,1,0,8,incorrect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.02,0,0,1,0,4,correct,0.0,0.0,0.0,4.6951202507428674e-210,1.0,4.606238902944328e-278,8.79115127443e-313,0.0,0.0,0.0,0.0,0.0
0.659,0,0,1,0,4,correct,0.0,0.0,0.0,5.198488588683553e-74,1.0,8.811625028533937e-147,3.0944217360416345e-189,0.0,0.0,7.997619422565114e-151,0.0,0.0
0.0299999999999998,1,0,0,0,3,do_nothing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
